acl 2.2.53-3
adobe-source-code-pro-fonts 2.030ro+1.050it-5
adwaita-icon-theme 3.36.1-1
alsa-lib 1.2.2-1
alsa-topology-conf 1.2.2-2
alsa-ucm-conf 1.2.2-1
aom 1.0.0.errata1+avif-1
archlinux-keyring 20200422-1
argon2 20190702-3
at-spi2-atk 2.34.2-1
at-spi2-core 2.36.0-1
atk 2.36.0-1
attr 2.4.48-3
audit 2.8.5-6
autoconf 2.69-7
automake 1.16.2-1
avahi 0.8+15+ge8a3dd0-1
base 2-2
bash 5.0.016-1
binutils 2.34-3
bison 3.6.2-1
bluez-libs 5.54-2
brotli 1.0.7-3
bzip2 1.0.8-3
ca-certificates 20181109-3
ca-certificates-mozilla 3.52-1
ca-certificates-utils 20181109-3
cairo 1.17.2+25+gaee96d175-1
cantarell-fonts 1:0.201-1
colord 1.4.4+9+g1ce26da-1
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.2-2
curl 7.70.0-1
dav1d 0.6.0-1
db 5.3.28-5
dbus 1.12.16-5
dconf 0.36.0-1
desktop-file-utils 0.24-2
device-mapper 2.02.187-2
dialog 1:1.3_20200327-1
diffutils 3.7-3
dmenu 4.9-1
docbook-xml 4.5-9
docbook-xsl 1.79.2-5
dosfstools 4.1-3
double-conversion 3.1.5-1
dwm 6.2-1
e2fsprogs 1.45.6-2
efibootmgr 17-1
efivar 37-3
elfutils 0.178-2
expat 2.2.9-3
fakeroot 1.24-2
ffmpeg 1:4.2.2-8
file 5.38-3
filesystem 2020.05.07-1
findutils 4.7.0-2
flac 1.3.3-1
flex 2.6.4-3
fontconfig 2:2.13.91+24+g75eadca-2
freetype2 2.10.2-1
fribidi 1.0.9-1
gawk 5.1.0-1
gc 8.0.4-4
gcc 10.1.0-1
gcc-libs 10.1.0-1
gd 2.3.0-1
gdbm 1.18.1-3
gdk-pixbuf2 2.40.0-2
gettext 0.20.2-1
ghostscript 9.52-1
giflib 5.2.1-1
git 2.26.2-1
glib-networking 2.64.2-1
glib2 2.64.2-1
glib2-docs 2.64.2-1
glibc 2.31-3
gmp 6.2.0-1
gnu-free-fonts 20120503-7
gnupg 2.2.20-1
gnutls 3.6.13-2
gpgme 1.13.1-5
gpm 1.20.7.r27.g1fd1941-2
graphite 1:1.3.14-1
graphviz 2.44.0-2
grep 3.4-1
groff 1.22.4-3
grub 2:2.04-7
gsettings-desktop-schemas 3.36.1-1
gsfonts 20180524-3
gsm 1.0.19-1
gtk-doc 1.32+37+gefc3644-1
gtk-update-icon-cache 1:3.24.20-1
gtk3 1:3.24.20-1
gts 0.7.6.121130-2
guile 2.2.6-2
gzip 1.10-3
harfbuzz 2.6.6-1
hicolor-icon-theme 0.17-2
hwids 20200306-1
i3-wm 4.18.1-1
iana-etc 20200511-1
icu 67.1-1
ijs 0.35-3
intel-ucode 20200508-1
intltool 0.51.0-5
iproute2 5.6.0-1
iptables 1:1.8.4-1
iputils 20190709-2
iso-codes 4.4-2
jack 0.125.0-9
jansson 2.13.1-1
jbig2dec 0.18-1
js60 60.9.0-2
json-c 0.14-4
json-glib 1.4.4-2
kbd 2.2.0-5
keyutils 1.6.1-4
kmod 27-1
krb5 1.18-1
l-smash 2.14.5-2
lame 3.100-2
lcms2 2.9-3
less 551-3
libarchive 3.4.2-1
libass 0.14.0-2
libassuan 2.5.3-2
libasyncns 0.8+3+g68cd5af-2
libavc1394 0.5.4-4
libbluray 1.2.0-3
libcanberra 0.30+2+gc0620e4-3
libcap 2.33-1
libcap-ng 0.7.10-1
libcroco 0.6.13-1
libcups 2.3.3-1
libdaemon 0.14-5
